OBJECTNUMMER;Naam;Adres;Stemdistrict;Toegankelijkheid_code;Toegankelijkheid;Open_speciaal;Openingstijden;Stadsdeel;LNG;LAT
85;Willibrordschool IJburg;Diemerparklaan 11;118;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Oost;4.993494;52.354453
86;IJburg College 2;Geertje Wielemaplein 1;119;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Oost;4.968938;52.371499
87;Basisschool Frankendael. locatie Hogeweg;Hogeweg 63;120;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Oost;4.93485;52.356338
88;Basisschool De Dapper;Pieter Nieuwlandstraat 3;122;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Oost;4.926165;52.36149
89;Kinderboerderij De Werf;Archimedeslaan 59;123;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Oost;4.944795;52.354084
90;The Student Hotel Amsterdam City;Wibautstraat 129;125;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Oost;4.913203;52.354564
91;Hogeschool van Amsterdam. Wibauthuis;Wibautstraat 3 A;126;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Oost;4.909481;52.359438
92;Ouderencentrum De Gooyer;Von Zesenstraat 298;128;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Oost;4.926929;52.364316
93;Woonzorgcentrum Kastanjehof;Kastanjeplein 60;129;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Oost;4.923098;52.358575
94;Sportzaal J.F. van Hengelstraat;J.F. van Hengelstraat 100;130;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Oost;4.945738;52.374399
95;Openbare Basisschool De Kaap;Christiaan de Wetstraat 23;131;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Oost;4.919061;52.354461
96;Gymzaal Villa Bons;Galileiplantsoen 39;133;C;niet rolstoeltoegankelijk;0;7:30 - 21:00 uur;Oost;4.938894;52.354169
97;Buurtcentrum Kraaipan;Hofmeyrstraat 67;134;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Oost;4.917362;52.351327
98;Montessori College Oost;Polderweg 3;135;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Oost;4.929797;52.358062
99;Verenigingsgebouw O Pontania;Roomtuintjes 233;136;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Oost;4.92912;52.365411
100;Gymzaal Metis Montessori Lyceum;Tweede Oosterparkstraat 33;137;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Oost;4.912936;52.356172
101;Hofkerk;Linnaeushof 94. Ingang Pastorie;138;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Oost;4.933461;52.3529
102;Gymzaal Metis Montessori Lyceum;Tweede Oosterparkstraat 33;139;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Oost;4.912936;52.356172
103;Sporthal Wethouder Verheij;Polderweg 300;140;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Oost;4.931355;52.35788
104;Servicepunt Het Brinkhuis;Brink 45;141-142;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Oost;4.943263;52.339986
105;Barbaraschool;Eikenplein 3;143;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Oost;4.921884;52.358166
106;Café Restaurant Polder;Science Park 203;144;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Oost;4.952643;52.354625
107;Kerk de Bron;Middenweg 74;145;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Oost;4.934554;52.350828
108;Gymzaal Villa Bons;Galileiplantsoen 39;146;C;niet rolstoeltoegankelijk;0;7:30 - 21:00 uur;Oost;4.938894;52.354169
109;UvA Science Park;Science Park 904;147;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Oost;4.955698;52.354412
110;Koningskerk;Van `t Hofflaan 20;148;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Oost;4.936267;52.348336
111;De Krugerkamer;Krugerplein 17;150;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Oost;4.920635;52.354135
112;Basisschool Frankendael (Von Liebigweg);Von Liebigweg 68;151;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Oost;4.927112;52.342413
113;Tugelahuis;Tugelaweg 59 A;152;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Oost;4.920764;52.355816
114;Buurtcentrum Oosterpark;Derde Oosterparkstraat 159;153;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Oost;4.920232;52.357522
115;Scouting Oost 1;Kruislaan 224;154;C;niet rolstoeltoegankelijk;0;7:30 - 21:00 uur;Oost;4.943774;52.349056
116;Wijkservicepunt Hoekhuis;Fizeaustraat 3;156;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Oost;4.926776;52.345073
117;Meininger Hotel Amsterdam Amstel;Julianaplein 6;158;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Oost;4.919445;52.345844
118;Waternet;Korte Ouderkerkerdijk 7;160;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Oost;4.917892;52.340059
119;Weesper;Weesperzijde 144;161;C;niet rolstoeltoegankelijk;0;7:30 - 21:00 uur;Oost;4.913073;52.348901
120;Grand Cafe Frankendael;Middenweg 116;162;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Oost;4.937625;52.34906
121;OLVG locatie Oost;Oosterpark 9;163;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Oost;4.91692;52.358389
122;Oosterparkkerk;Oosterpark 5;164;C;niet rolstoeltoegankelijk;0;7:30 - 21:00 uur;Oost;4.91589;52.360021
123;Muiderkerk;Linnaeusstraat 37;166;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Oost;4.924416;52.36169
124;BOOST Transvaal;Tegenover ingang Danie Theronstraat 2;167;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Oost;4.915733;52.352651
125;QO Amsterdam;Amstelvlietstraat 4;168;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Oost;4.920948;52.338264
126;Het Parkhuis;Anfieldroad 110;169;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Oost;4.947924;52.343508
127;Sportzaal J.F. van Hengelstraat;J.F. van Hengelstraat 100;170;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Oost;4.945738;52.374399
128;Gymzaal Laterna Magica;Eva Besnyöstraat 491;171;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Oost;5.00796;52.350079
129;4e Montessorischool De Pinksterbloem;ingang Oetgensstraat - gymzaal;173-174;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Oost;4.90846;52.354742
130;Panama Amsterdam;Oostelijke Handelskade 4;175;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Oost;4.930431;52.374997
131;Sporthal Wethouder Verheij;Polderweg 300;177;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Oost;4.931355;52.35788
132;Gymzaal Lidwinaschool;Simon Stevinstraat 48;178-179;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Oost;4.924993;52.352795
133;Vrije Universiteit Amsterdam;De Boelelaan 1105;200;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Zuid;4.866482;52.334586
134;Doven Ontmoetings Centrum;Stadhouderskade 89;201;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Zuid;4.895321;52.357619
135;V.B.S.K.  Albert Cuyp;Albert Cuypstraat 241;203;C;niet rolstoeltoegankelijk;0;7:30 - 21:00 uur;Zuid;4.897606;52.35672
136;Studio Automat Amsterdam;Tweede Jan Steenstraat 80-82;204;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Zuid;4.902129;52.356523
137;Oranjekerk;2e Van der Helststraat 1-3;206;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Zuid;4.895431;52.352937
138;Oranjekerk;2e Van der Helststraat 1-3;207;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Zuid;4.895431;52.352937
139;Het Amsterdams Lyceum;Pieter Lastmankade 1;208;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Zuid;4.864674;52.351034
140;NH Museum Quarter;Hobbemakade 50;210;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Zuid;4.886122;52.355819
141;Amsterdam UMC. locatie VUmc;De Boelelaan 1117;211;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Zuid;4.859835;52.334646
142;De Kleine Valk;Marie Heinekenplein 5;212;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Zuid;4.891463;52.357333
143;De Edelsteen;Smaragdplein 3;213-214;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Zuid;4.905669;52.350893
144;Senioren bewonersruimte;Servaes Noutsstraat 3 t/m 99;215;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Zuid;4.904358;52.355409
145;Het Amsterdams Lyceum;Pieter Lastmankade 1;216;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Zuid;4.864674;52.351034
146;3e Daltonschool hoofdgebouw;Van Ostadestraat 201-203;217-218;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Zuid;4.897543;52.353107
147;Buurtgebouw HdK;Henrick de Keijserplein 45;219;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Zuid;4.898064;52.351105
148;Sportcentrum De Pijp;Lizzy Ansinghstraat 88;221;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Zuid;4.89372;52.349748
149;Rijn 58;Rijnstraat 58;222;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Zuid;4.90485;52.346594
150;d`Oude Raai;Ferdinand Bolstraat 321;223;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Zuid;4.891699;52.349317
151;Apollohal;Stadionweg 5 (linker ingang);224;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Zuid;4.884449;52.348064
152;Gezond in Zuid Paramedisch centrum;Ruysdaelstraat 49 A (rode G op de deur);225;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Zuid;4.883663;52.353903
153;Cornelis Vrijschool;Van de Veldestraat 3;226;C;niet rolstoeltoegankelijk;0;7:30 - 21:00 uur;Zuid;4.879812;52.359584
154;IVKO school;Rustenburgerstraat 15;227;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Zuid;4.90577;52.353779
155;De Coenen;Joh.M. Coenenstraat 4-6;229-230;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Zuid;4.881535;52.352626
156;Obrechtkerk;Jacob Obrechtstraat 30;232;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Zuid;4.875349;52.355773
157;Gymzaal Nicolaas Maesschool;Heinzestraat 9;233;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Zuid;4.876868;52.352579
158;Boxing Gym Abov;Amstelkade 13;234;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Zuid;4.907507;52.349211
159;Stichting Munganga;Schinkelhavenstraat 27 hs;236;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Zuid;4.854039;52.354285
160;Basisschool Elout;Cornelis Krusemanstraat 68;237;C;niet rolstoeltoegankelijk;0;7:30 - 21:00 uur;Zuid;4.85887;52.35038
161;OBS De Dongeschool;Geulstraat 9;238;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Zuid;4.893628;52.34484
162;De Derde Schinkel;Derde Schinkelstraat 9;239;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Zuid;4.855229;52.352907
163;Flatgebouw Baarsstraat;Baarsstraat 31;240;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Zuid;4.854708;52.349858
164;Hervormd Lyceum Zuid;Brahmsstraat 7;243;C;niet rolstoeltoegankelijk;0;7:30 - 21:00 uur;Zuid;4.879061;52.348194
165;St. Ignatius Gymnasium;ingang Adama van Scheltemaplein;244-245;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Zuid;4.873936;52.349772
166;Huis van de Wijk Olympus / Europaschool;Hygiëaplein 10;246;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Zuid;4.862857;52.34709
167;Willem de Zwijgerkerk;Olympiaweg 14;247-248;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Zuid;4.863064;52.349436
168;Olympiaschool;Stadionkade 113 B;249;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Zuid;4.86227;52.343321
169;Olympisch Stadion;Olympisch Stadion 2;250;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Zuid;4.855118;52.343802
170;Bibliotheek Olympisch Kwartier;Laan der Hesperiden 18;252;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Zuid;4.855585;52.345242
171;Gymzaal;Willem Witsenstraat 8;253;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Zuid;4.870217;52.351454
172;OBS Oscar Carré;1e Jan vd Heijdenstr 161;255;C;niet rolstoeltoegankelijk;0;7:30 - 21:00 uur;Zuid;4.893175;52.353862
173;Stichting Munganga;Schinkelhavenstraat 27 hs;256;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Zuid;4.854039;52.354285
174;Dep. OBS De Notenkraker;Leiduinstraat 13;257-258;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Zuid;4.847085;52.353957
175;OBS Oscar Carré;1e Jan vd Heijdenstr 161;259;C;niet rolstoeltoegankelijk;0;7:30 - 21:00 uur;Zuid;4.893175;52.353862
176;Cornelis Vrijschool;Van de Veldestraat 3;260;C;niet rolstoeltoegankelijk;0;7:30 - 21:00 uur;Zuid;4.879812;52.359584
177;Gymzaal Nicolaas Maesschool;Heinzestraat 9;261;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Zuid;4.876868;52.352579
178;HoofdKwartier;Hoofddorpweg 25;262;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Zuid;4.850762;52.350882
