OBJECTNUMMER,Naam,Address,Stemdistrict,Toegankelijkheid_code,Toegankelijkheid,Open_speciaal,Openingstijden,Stadsdeel,LNG,LAT
45,Het Bushuis,Kloveniersburgwal 48,63,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Centrum,4.898.126,52.370.797
46,UvA - locatie P.C. Hoofthuis,Spuistraat 134 - 3e etage,64,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Centrum,4.889.837,52.374.097
47,De Vinse School,Palmstraat 7,65,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Centrum,4.884.626,52.381.714
48,De Rode Hoed,Keizersgracht 100,66,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Centrum,4.887.275,52.377.349
49,Noorderkerk,Noordermarkt 44,67,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Centrum,488.631,52.379.538
50,Museumwerf `t Kromhout,Kruithuisstraat 25,068-069,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Centrum,4.920.445,52.367.975
51,Amsterdam Museum,Sint Luciënsteeg 27,70,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Centrum,4.890.714,52.370.488
52,Bezoekerscentrum De Nederlandsche Bank,Sarphatistraat 1 - 3,071-072,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Centrum,4.901.311,52.360.187
53,Academie voor Theater en Dans,Jodenbreestraat 3,73,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Centrum,4.901.663,52.369.598
54,Conservatorium van Amsterdam,Oosterdokskade 151,74,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Centrum,4.908.907,52.375.955
55,Ateliers Westerdok,Westerdok 318,76,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Centrum,4.891.647,52.384.314
56,De Noorderspeeltuin,Tweede Lindendwarsstraat 10,80,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Centrum,4.882.447,52.379.539
57,OBA Javaplein,Javaplein 2,81,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.938.764,52.364.154
58,Kindervreugd,Kramatweg 31 A,82,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.946.451,52.364.776
59,Flevoparkschool,Soembawastraat 61,84,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.943.967,52.363.554
60,Verenigingsgebouw Batavia,Tidorestraat 107,87,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.940.738,5.236.054
61,Havo De Hof,Ingang Wijttenbachstraat,88,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Oost,4.929.081,52.360.648
62,Flevoparkschool,Soembawastraat 61,90,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.943.967,52.363.554
63,Loods 6,KNSM-laan 143,91,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.938.778,52.377.267
64,OBS De Kleine Kapitein,Tosaristraat 30 A,92,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Oost,4.922.795,5.237.921
65,Int. Instituut voor Sociale Geschiedenis,Cruquiusweg 31,93,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.939.289,52.368.875
66,De Nieuwe KHL,Oostelijke Handelskade 44,94,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Oost,4.936.285,52.374.049
67,A08 Events Amsterdam,KNSM-laan 808,95,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.946.346,52.376.765
68,Basisschool Onze Toekomst,Bataviastraat 24 bg,97,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,494.217,52.361.228
69,BAC Amsterdam,R.J.H. Fortuynplein 4,98,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.946.599,52.372.057
70,Int. Instituut voor Sociale Geschiedenis,Cruquiusweg 31,99,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.939.229,52.368.973
71,De Eester,C. van Eesterenlaan 266,100,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.938.125,52.370.713
72,Stichting Meevaart,Balistraat 48A,101,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.933.901,52.363.021
73,Basisschool de Waaier,Obiplein t.o. 87. zij-ingang,103,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.938.816,5.236.046
74,Stayokay Amsterdam Oost,Timorplein 21,104-106,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.935.507,52.365.355
75,De Indische Buurt School,Balistraat 79,107,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Oost,4.934.707,52.363.222
76,Stichting Flexbieb IJburg,Talbotstr 46 - ingang Maria Austriastraat,108,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Oost,4.994.624,52.357.755
77,De Binnenwaai,Ed Pelsterpark 2,109,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Oost,4.995.941,52.356.618
78,Basisschool De Archipel,Franz Zieglerstraat 11,110,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Oost,5.007.258,52.353.159
79,OBA IJburg,Diemerparklaan 79,111,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Oost,4.996.939,52.356.613
80,Montessorischool Steigereiland,John Hadleystraat 4,112,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Oost,4.982.205,52.360.985
81,abbs De Zuiderzee,Brigantijnkade 51,113,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Oost,4.987.533,52.362.738
82,Café Kanis en Meiland,Levantkade 127,114,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.940.506,52.376.339
83,IJburg College 1,Pampuslaan 1,115,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Oost,5.004.339,52.351.289
84,MKC Zeeburgereiland,Faas Wilkesstraat 451,117,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Oost,4.969.942,52.372.456
85,Willibrordschool IJburg,Diemerparklaan 11,118,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Oost,4.993.494,52.354.453
86,IJburg College 2,Geertje Wielemaplein 1,119,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Oost,4.968.938,52.371.499
87,Basisschool Frankendael. locatie Hogeweg,Hogeweg 63,120,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,493.485,52.356.338
88,Basisschool De Dapper,Pieter Nieuwlandstraat 3,122,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.926.165,5.236.149
89,Kinderboerderij De Werf,Archimedeslaan 59,123,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Oost,4.944.795,52.354.084
90,The Student Hotel Amsterdam City,Wibautstraat 129,125,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Oost,4.913.203,52.354.564
91,Hogeschool van Amsterdam. Wibauthuis,Wibautstraat 3 A,126,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.909.481,52.359.438
92,Ouderencentrum De Gooyer,Von Zesenstraat 298,128,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.926.929,52.364.316
93,Woonzorgcentrum Kastanjehof,Kastanjeplein 60,129,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Oost,4.923.098,52.358.575
94,Sportzaal J.F. van Hengelstraat,J.F. van Hengelstraat 100,130,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.945.738,52.374.399
95,Openbare Basisschool De Kaap,Christiaan de Wetstraat 23,131,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.919.061,52.354.461
96,Gymzaal Villa Bons,Galileiplantsoen 39,133,C,niet rolstoeltoegankelijk,0,7:30 - 21:00 uur,Oost,4.938.894,52.354.169
97,Buurtcentrum Kraaipan,Hofmeyrstraat 67,134,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.917.362,52.351.327
98,Montessori College Oost,Polderweg 3,135,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.929.797,52.358.062
99,Verenigingsgebouw O Pontania,Roomtuintjes 233,136,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Oost,492.912,52.365.411
100,Gymzaal Metis Montessori Lyceum,Tweede Oosterparkstraat 33,137,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.912.936,52.356.172
101,Hofkerk,Linnaeushof 94. Ingang Pastorie,138,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Oost,4.933.461,523.529
102,Gymzaal Metis Montessori Lyceum,Tweede Oosterparkstraat 33,139,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.912.936,52.356.172
103,Sporthal Wethouder Verheij,Polderweg 300,140,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.931.355,5.235.788
104,Servicepunt Het Brinkhuis,Brink 45,141-142,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.943.263,52.339.986
105,Barbaraschool,Eikenplein 3,143,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.921.884,52.358.166
106,Café Restaurant Polder,Science Park 203,144,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.952.643,52.354.625
107,Kerk de Bron,Middenweg 74,145,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Oost,4.934.554,52.350.828
108,Gymzaal Villa Bons,Galileiplantsoen 39,146,C,niet rolstoeltoegankelijk,0,7:30 - 21:00 uur,Oost,4.938.894,52.354.169
109,UvA Science Park,Science Park 904,147,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.955.698,52.354.412
110,Koningskerk,Van `t Hofflaan 20,148,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.936.267,52.348.336
111,De Krugerkamer,Krugerplein 17,150,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.920.635,52.354.135
112,Basisschool Frankendael (Von Liebigweg),Von Liebigweg 68,151,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.927.112,52.342.413
113,Tugelahuis,Tugelaweg 59 A,152,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.920.764,52.355.816
114,Buurtcentrum Oosterpark,Derde Oosterparkstraat 159,153,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.920.232,52.357.522
115,Scouting Oost 1,Kruislaan 224,154,C,niet rolstoeltoegankelijk,0,7:30 - 21:00 uur,Oost,4.943.774,52.349.056
116,Wijkservicepunt Hoekhuis,Fizeaustraat 3,156,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Oost,4.926.776,52.345.073
117,Meininger Hotel Amsterdam Amstel,Julianaplein 6,158,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Oost,4.919.445,52.345.844
118,Waternet,Korte Ouderkerkerdijk 7,160,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Oost,4.917.892,52.340.059
119,Weesper,Weesperzijde 144,161,C,niet rolstoeltoegankelijk,0,7:30 - 21:00 uur,Oost,4.913.073,52.348.901
120,Grand Cafe Frankendael,Middenweg 116,162,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.937.625,5.234.906
121,OLVG locatie Oost,Oosterpark 9,163,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,491.692,52.358.389
122,Oosterparkkerk,Oosterpark 5,164,C,niet rolstoeltoegankelijk,0,7:30 - 21:00 uur,Oost,491.589,52.360.021
123,Muiderkerk,Linnaeusstraat 37,166,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.924.416,5.236.169
124,BOOST Transvaal,Tegenover ingang Danie Theronstraat 2,167,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.915.733,52.352.651
125,QO Amsterdam,Amstelvlietstraat 4,168,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.920.948,52.338.264
126,Het Parkhuis,Anfieldroad 110,169,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Oost,4.947.924,52.343.508
127,Sportzaal J.F. van Hengelstraat,J.F. van Hengelstraat 100,170,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.945.738,52.374.399
128,Gymzaal Laterna Magica,Eva Besnyöstraat 491,171,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Oost,500.796,52.350.079
129,4e Montessorischool De Pinksterbloem,ingang Oetgensstraat - gymzaal,173-174,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Oost,490.846,52.354.742
130,Panama Amsterdam,Oostelijke Handelskade 4,175,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Oost,4.930.431,52.374.997
131,Sporthal Wethouder Verheij,Polderweg 300,177,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.931.355,5.235.788
132,Gymzaal Lidwinaschool,Simon Stevinstraat 48,178-179,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Oost,4.924.993,52.352.795
133,Vrije Universiteit Amsterdam,De Boelelaan 1105,200,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Zuid,4.866.482,52.334.586
134,Doven Ontmoetings Centrum,Stadhouderskade 89,201,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Zuid,4.895.321,52.357.619
135,V.B.S.K.  Albert Cuyp,Albert Cuypstraat 241,203,C,niet rolstoeltoegankelijk,0,7:30 - 21:00 uur,Zuid,4.897.606,5.235.672
136,Studio Automat Amsterdam,Tweede Jan Steenstraat 80-82,204,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Zuid,4.902.129,52.356.523
137,Oranjekerk,2e Van der Helststraat 1-3,206,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Zuid,4.895.431,52.352.937
138,Oranjekerk,2e Van der Helststraat 1-3,207,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Zuid,4.895.431,52.352.937
139,Het Amsterdams Lyceum,Pieter Lastmankade 1,208,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Zuid,4.864.674,52.351.034
140,NH Museum Quarter,Hobbemakade 50,210,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Zuid,4.886.122,52.355.819
141,Amsterdam UMC. locatie VUmc,De Boelelaan 1117,211,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Zuid,4.859.835,52.334.646
142,De Kleine Valk,Marie Heinekenplein 5,212,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Zuid,4.891.463,52.357.333
143,De Edelsteen,Smaragdplein 3,213-214,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Zuid,4.905.669,52.350.893
144,Senioren bewonersruimte,Servaes Noutsstraat 3 t/m 99,215,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Zuid,4.904.358,52.355.409
145,Het Amsterdams Lyceum,Pieter Lastmankade 1,216,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Zuid,4.864.674,52.351.034
146,3e Daltonschool hoofdgebouw,Van Ostadestraat 201-203,217-218,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Zuid,4.897.543,52.353.107
147,Buurtgebouw HdK,Henrick de Keijserplein 45,219,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Zuid,4.898.064,52.351.105
148,Sportcentrum De Pijp,Lizzy Ansinghstraat 88,221,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Zuid,489.372,52.349.748
149,Rijn 58,Rijnstraat 58,222,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Zuid,490.485,52.346.594
150,d`Oude Raai,Ferdinand Bolstraat 321,223,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Zuid,4.891.699,52.349.317
151,Apollohal,Stadionweg 5 (linker ingang),224,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Zuid,4.884.449,52.348.064
152,Gezond in Zuid Paramedisch centrum,Ruysdaelstraat 49 A (rode G op de deur),225,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Zuid,4.883.663,52.353.903
153,Cornelis Vrijschool,Van de Veldestraat 3,226,C,niet rolstoeltoegankelijk,0,7:30 - 21:00 uur,Zuid,4.879.812,52.359.584
154,IVKO school,Rustenburgerstraat 15,227,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Zuid,490.577,52.353.779
155,De Coenen,Joh.M. Coenenstraat 4-6,229-230,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Zuid,4.881.535,52.352.626
156,Obrechtkerk,Jacob Obrechtstraat 30,232,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Zuid,4.875.349,52.355.773
157,Gymzaal Nicolaas Maesschool,Heinzestraat 9,233,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Zuid,4.876.868,52.352.579
158,Boxing Gym Abov,Amstelkade 13,234,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Zuid,4.907.507,52.349.211
159,Stichting Munganga,Schinkelhavenstraat 27 hs,236,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Zuid,4.854.039,52.354.285
160,Basisschool Elout,Cornelis Krusemanstraat 68,237,C,niet rolstoeltoegankelijk,0,7:30 - 21:00 uur,Zuid,485.887,5.235.038
161,OBS De Dongeschool,Geulstraat 9,238,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Zuid,4.893.628,5.234.484
162,De Derde Schinkel,Derde Schinkelstraat 9,239,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Zuid,4.855.229,52.352.907
163,Flatgebouw Baarsstraat,Baarsstraat 31,240,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Zuid,4.854.708,52.349.858
164,Hervormd Lyceum Zuid,Brahmsstraat 7,243,C,niet rolstoeltoegankelijk,0,7:30 - 21:00 uur,Zuid,4.879.061,52.348.194
165,St. Ignatius Gymnasium,ingang Adama van Scheltemaplein,244-245,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Zuid,4.873.936,52.349.772
166,Huis van de Wijk Olympus / Europaschool,Hygiëaplein 10,246,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Zuid,4.862.857,5.234.709
167,Willem de Zwijgerkerk,Olympiaweg 14,247-248,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Zuid,4.863.064,52.349.436
168,Olympiaschool,Stadionkade 113 B,249,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Zuid,486.227,52.343.321
169,Olympisch Stadion,Olympisch Stadion 2,250,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Zuid,4.855.118,52.343.802
170,Bibliotheek Olympisch Kwartier,Laan der Hesperiden 18,252,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Zuid,4.855.585,52.345.242
171,Gymzaal,Willem Witsenstraat 8,253,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Zuid,4.870.217,52.351.454
172,OBS Oscar Carré,1e Jan vd Heijdenstr 161,255,C,niet rolstoeltoegankelijk,0,7:30 - 21:00 uur,Zuid,4.893.175,52.353.862
173,Stichting Munganga,Schinkelhavenstraat 27 hs,256,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Zuid,4.854.039,52.354.285
174,Dep. OBS De Notenkraker,Leiduinstraat 13,257-258,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Zuid,4.847.085,52.353.957
175,OBS Oscar Carré,1e Jan vd Heijdenstr 161,259,C,niet rolstoeltoegankelijk,0,7:30 - 21:00 uur,Zuid,4.893.175,52.353.862
176,Cornelis Vrijschool,Van de Veldestraat 3,260,C,niet rolstoeltoegankelijk,0,7:30 - 21:00 uur,Zuid,4.879.812,52.359.584
177,Gymzaal Nicolaas Maesschool,Heinzestraat 9,261,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Zuid,4.876.868,52.352.579
178,HoofdKwartier,Hoofddorpweg 25,262,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Zuid,4.850.762,52.350.882
179,Tobiasschool,Rietwijkerstraat 55,263-264,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Zuid,4.847.155,52.349.437
180,OBS De Dongeschool,Geulstraat 9,265,C,niet rolstoeltoegankelijk,0,7:30 - 21:00 uur,Zuid,4.893.628,5.234.484
181,Anne Frankschool,Niersstraat 41,266,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Zuid,4.894.002,52.342.802
182,Pastorie Vredeskerk,Pijnackerstraat 9,267-268,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Zuid,4.890.046,52.350.164
183,Anne Frankschool,Niersstraat 41,270,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Zuid,4.894.002,52.342.802
184,Knijn Bowling,Scheldeplein 3,271,C,niet rolstoeltoegankelijk,0,7:30 - 21:00 uur,Zuid,4.891.359,52.344.327
185,Centrum Karunika,Meerhuizenplein 11,272,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Zuid,4.908.231,52.347.381
186,gymzaal De Rivierenschool,Lekstraat 33 A,274-275,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Zuid,490.423,52.344.237
187,Remise Lekstraat,Kromme-Mijdrechtstraat 25,276-277,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Zuid,4.909.085,52.345.757
188,gymzaal De Rivierenschool,Lekstraat 33 A,278,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Zuid,490.423,52.344.237
189,Buurtgebouw HdK,Henrick de Keijserplein 45,283,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Zuid,4.898.064,52.351.105
190,Thomaskerk,Prinses Irenestraat 36,286,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Zuid,4.874.877,52.341.974
191,Revalidatie- en Zorgcentrum Vreugdehof,De Klencke 111,287,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Zuid,4.884.272,52.333.854
192,NH Amsterdam Zuid,Van Leijenberghlaan 221,289,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Zuid,488.004,52.326.664
193,Zorgcentrum De Buitenhof,Nieuw Herlaer 2,290,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Zuid,4.888.196,52.326.662
194,Andrieskerk,Arent Janszoon Ernststr 869,292,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Zuid,4.868.098,52.331.843
195,ROC Zuid,Europaboulevard 13,293-294,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Zuid,4.892.806,52.339.588
196,Gymzaal bij school De Ark,Zuid-Hollandstraat 7,295-296,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Zuid,4.874.745,52.326.623
197,Menno Simonszhuis/Dynamo,Noordhollandstraat 17 A,297,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Zuid,4.866.514,52.326.794
198,Marius ten Catehof,Van Nijenrodeweg 937,298,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Zuid,4.858.821,52.327.317
199,Woonzorgcentrum Buitenveldert,Doornburg 2,299,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Zuid,4.861.367,52.322.888
200,WTC Toren A t/m G,Strawinskylaan 77 ingang Zuidplein,300,A,rolstoeltoegankelijk,1,7:30 - 20:00 uur,Zuid,4.873.532,52.340.198
201,Sporthallen Zuid,Burgerweeshuispad 54,301,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Zuid,4.854.107,52.339.977
202,Portocabin IJselplein,t/o Reggestraat 20,302-303,C,niet rolstoeltoegankelijk,0,7:30 - 21:00 uur,Zuid,4.901.743,52.347.543
203,Multifunctioneel Centrum Binnenhof,Arent Janszoon Ernststr 112,305-306,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Zuid,487.823,52.332.309
204,Vrije Universiteit Amsterdam,De Boelelaan 1105,307,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Zuid,4.866.482,52.334.586
205,Kinderopvang Parvaneh,Van Gentstraat 16 A,311,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,West,4.851.842,52.383.117
206,KBS De Boomgaard,Gibraltarstraat 61,313,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,West,4.850.041,52.383.837
207,School Tijl Uilenspiegel,Tijl Uilenspiegelstraat 11 - ingang achterzijde t.h.v. Lanseloetstr,315-316,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,West,4.849.172,52.378
208,Brede School de Springplank,Robert Scottstraat 28,317,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,West,4.846.406,52.373.556
209,Wachterliedpaviljoen,Wachterliedplantsoen 2,319,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,West,4.853.598,52.377.489
210,Narcis-Queridoschool,Jan den Haenstraat 41,321,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,West,486.064,52.379.372
211,Centrum voor Ouderen De Boeg,Hoofdweg 495,325-326,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,West,4.846.639,52.376.146
212,De Volksuniversiteit,Bos en Lommerplein 176,327,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,West,484.514,52.378.646
213,Bos en Lommerschool,Meimorgenstraat 2,328,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,West,4.840.039,52.379.027
214,de Wiltzangh,Hertspieghelweg 55,330,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,West,485.055,52.381.817
215,t Landhuis,Gerard Callenburgstraat 38,331,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,West,4.859.231,52.379.276
216,MBO College West,Laan van Spartaan 2,334,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,West,4.840.608,52.373.377
217,A.K.C. Blauw-Wit,Joos Banckersweg 18 A,335,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,West,4.856.703,52.375.778
218,Molen van Sloten,Akersluis 10,341,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Nieuw-West,4.792.208,52.341.561
219,Vrouw en Vaart,President Allendelaan 733,342,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Nieuw-West,4.805.334,52.365.677
220,Het Talent,gymlokaal ingang Veldzicht,343-344,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Nieuw-West,4.799.059,52.362.806
