OBJECTNUMMER,Naam,Address,Stemdistrict,Toegankelijkheid_code,Toegankelijkheid,Open_speciaal,Openingstijden,Stadsdeel,LNG,LAT
310,Amsta De Raak,Dr. H. Colijnstraat 431,547,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Nieuw-West,4.806.223,52.379.685
311,Noordmansschool,Louis Couperusstraat 131,548,C,niet rolstoeltoegankelijk,0,7:30 - 21:00 uur,Nieuw-West,4.824.438,52.375.899
312,PlusPunt Eigenwijks Geuzenveld,Albardakade 5-7,550,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Nieuw-West,4.802.734,52.378.023
313,Oase/De Bron,Willem Kloosstraat 1,551,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Nieuw-West,4.822.709,52.375.576
314,Pieter Jelles Troelstraschool,Dr. H. Colijnstraat 2,555,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Nieuw-West,4.806.603,52.375.291
315,Meininger Hotel,Orlyplein 1,556,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Nieuw-West,4.837.399,52.390.609
316,Hotelschool The Hague,Jan Evertsenstraat 171,561,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Nieuw-West,4.843.789,52.369.024
317,Stadsdeelkantoor Amsterdam-Noord,Buikslotermeerplein 2000,600,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Noord,4.932.927,52.400.828
318,Brede Mgr. Bekkersschool,Volendammerweg 160,601,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Noord,4.959.094,52.391.884
319,Evean Korthagenhuis,Amerbos 590,602,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Noord,4.939.881,52.404.836
320,Het Tolhuis,Buiksloterweg 7,603,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Noord,490.488,52.383.039
321,Het Schouw,Dollardplein 2,604,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Noord,4.942.726,52.398.052
322,Wijkgebouw Schellingwoude,Wijkergouw 12,605,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Noord,4.965.092,52.383.736
323,Muziekschool Noord,Alkmaarstraat 10,606,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Noord,4.951.133,52.394.767
324,OBS De Driemaster,Binnenvaart 1,607,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Noord,4.920.865,52.407.693
325,OBS Oranje Nassauschool,Ribesstraat 15,608,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Noord,4.915.505,5.239.348
326,Het Zwanenmeer,Beemsterstraat 491,610,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Noord,4.949.394,52.395.309
327,Museum Amsterdam Noord,Zamenhofstraat 28 A,611,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Noord,4.926.021,52.388.129
328,Middelbare School Hogelant,Duinluststraat 20,612,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Noord,4.953.445,52.395.692
329,Speeltuinvereniging Nieuwendam,Monnikendammerplantsoen 12 A,613,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Noord,4.950.495,52.389.435
330,Protestantse Gemeente Nieuwendam,Brede Kerkepad 6-8 (ingang via hek),614,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Noord,4.940.572,52.391.636
331,De Die,Loenermark 900,616,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Noord,4.932.036,5.239.891
332,OBS De Klimop,Varenweg 6,617,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Noord,4.916.129,52.390.076
333,ROC-TOP,NDSM-straat 1,618,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Noord,4.888.706,52.404.236
334,Buurtcentrum de Driehoek,Waddenweg 116,619,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Noord,4.928.591,52.393.882
335,OBS De Kinderboom,Adelaarsweg 113 (ingang speelplaats),621,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Noord,4.920.273,52.388.601
336,OBS Het Vogelnest,Mussenstraat 26,622,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Noord,4.917.016,5.238.679
337,Buurtcentrum De Meeuw,Motorwal 300,624,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Noord,4.917.775,5.238.443
338,Gebouw `t Laantje,Meteorenweg 19 A,627,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Noord,4.890.684,52.409.934
339,Kringloopbedrijf De Lokatie,Distelweg 85,628,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Noord,4.904.744,5.239.279
340,Buurtcentrum De Valk,IJplein 3,629,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Noord,4.911.093,52.382.992
341,Buurtvereniging Bloemenkwartier,Wingerdweg 260 B,630,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Noord,4.918.718,5.239.671
342,Huis van de Wijk,Waterlandplein 302,632,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Noord,4.954.837,523.931
343,OBS De Bonkelaar,Molenwijk 3,634,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Noord,4.889.737,52.421.029
344,Eduard Douwes Dekkerhuis,Schoenerstraat 11,635,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Noord,4.907.701,52.404.638
345,Huis van de Wijk,Bezaanjachtplein 243-247,636,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Noord,4.916.941,52.407.695
346,Senioren-flat de Wasknijper,G.J. Scheurleerweg 15,637,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Noord,492.927,52.404.993
347,OBS De Vier Windstreken,Parlevinker 11,638,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Noord,4.921.948,52.410.986
348,OBA Molenwijk,Molenwijk 21,640,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Noord,4.892.978,52.417.798
349,Cordaan - Het Anker,Klinkerweg 73,642,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Noord,4.895.726,52.407.241
350,SBO De Zeppelin,Bessenpad 1-ingang Mandarijnenstr t/o 12,644,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Noord,4.894.739,52.410.067
351,Orion College Amsterdam,Beijerlandstraat 2,645,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Noord,4.930.413,52.392.451
352,OBA van der Pek,Gentiaanstraat 1,646,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Noord,4.911.861,52.390.823
353,Twiskehuis,Watermanstraat 2,649,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Noord,4.880.385,52.416.083
354,Buurtcentrum De Evenaar,Kometensingel 189,650,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Noord,4.886.461,52.414.374
355,OBS Twiskeschool,Pandorinastraat 7A (ingang hoofdgebouw),651-652,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Noord,4.902.019,52.419.004
356,OBS De Krijtmolen,Molenwijk 8,654,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Noord,4.891.896,52.419.861
357,OBS De Vijfsterren,Markengouw 245 A,655,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Noord,4.959.115,52.394.293
358,Basisschool de Satelliet,Kometensingel 54 (hoofd ingang),656,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Noord,489.364,52.415.087
359,Dorpshuis de Beke,Dorpsweg Ransdorp 29,657,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Noord,4.994.303,52.392.374
360,Basisschool Cosmicus Impuls,Het Breed 10,658,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Noord,4.933.777,52.398.189
361,Stichting !WOON team noord,J. Drijverweg 5,659,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Noord,4.944.264,52.401.482
362,Over-Y College,Floraweg 170,660,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Noord,4.912.481,52.400.146
363,Buiksloterkerk,Buiksloterkerkpad 10,663,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Noord,4.916.093,52.401.796
364,Basisschool IKC Noordrijk,Braeburnstraat 1,665,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Noord,4.903.389,52.408
365,Kerk de Ark,Aakstraat 60,670,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Noord,491.271,5.240.757
366,Vrije school Kairos,Wognumerplantsoen 2-4,671,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Noord,4.949.252,52.387.444
367,S.O. De Heldring,Bosrankstraat 1,673,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Noord,4.906.542,52.397.767
368,Stadsloket Zuidoost,Anton de Komplein 150,701,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Zuidoost,4.956.479,52.316.235
369,Basisschool Klaverblad,Darlingstraat 1,703,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Zuidoost,4.949.801,52.319.761
370,Buurthuis Holendrecht,Holendrechtplein 38,704,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Zuidoost,4.964.845,5.229.855
371,Wooncentrum De Venser,Berthold Brechtstraat 1,706,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Zuidoost,4.946.814,5.231.779
372,Wooncentrum De Drecht,Niftrikhof 1,708,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Zuidoost,4.962.287,52.299.278
373,Buurthuis Gein,Wisseloord 83,712,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Zuidoost,4.987.048,5.229.594
374,School De Ster,Woudrichemstraat 8,714,C,niet rolstoeltoegankelijk,0,7:30 - 21:00 uur,Zuidoost,4.987.694,52.294.235
375,Jongerencentrum No Limit,Geldershoofd 80,718,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Zuidoost,4.971.898,52.323.462
